ENTIDAD;OFICINA;CUENTA;MESES DE MORA;COD. TRANF.;TC ASOCIADA
0013;4499;5022527998;5;T3154;43053610469372328
0013;5772;5012108676;5;T3194;5550175456465W44
0013;7278;5082555130;2;XZ1251;42197010997674383
0013;5531;5035063382;6;T344;5068885357394W61
0013;1436;5016984858;3;XZ1119;43902143648X7773
0013;2311;5084727582;6;T362;4503025168819W98
0013;7484;5074384447;4;T347;481192349B711694
0013;5194;5019027277;1;XZ1286;5656545738491W51
0013;7373;5014117039;6;T3174;4852177445134532
0013;5940;5085849305;6;T3288;43772246842X9447
0013;3166;5099448751;5;T3131;5333681A65434625
0013;3639;5039043574;6;T3244;5380886996378376
0013;6016;5063364747;1;XZ1104;49109124Z2749643
0013;4078;5042659125;3;XZ1287;45045022Z9159716
0013;1663;5069990837;3;XZ1207;5197237594885399
0013;1509;5034389060;1;XZ1111;5994459323496692
0013;4779;5095420247;6;T352;4159311A24614366
0013;5423;5092007371;6;T356;448055342B264621
0013;6844;5097810472;2;XZ1221;48933042855X1981
0013;4870;5017880760;2;XZ111;52644943987X8255
0013;1984;5086422287;2;XZ1252;476901331B542391
0013;5383;5069353139;3;XZ1157;54932710628967874
0013;6431;5020084585;1;XZ1199;48295324Z9469537
0013;5160;5098189891;4;T344;552012391B395422
0013;1314;5084207655;2;XZ1247;4776886678664987
0013;7167;5024752461;4;T3114;542170386B556142
0013;5846;5044342522;5;T3168;42143223Z5968452
0013;4610;5078640416;4;T396;5112979227467987
0013;6776;5044510090;4;T377;58206610298477632
0013;7010;5066769853;2;XZ1190;4853827277555652
0013;6181;5011448154;3;XZ1168;4584829656174824
0013;7522;5041119110;6;T3237;5526478553671984
0013;4618;5029393778;3;XZ1167;59003346293X7558
0013;5091;5011901758;5;T399;5618221A28745132
0013;3667;5083908499;6;T3173;4553819832841796
0013;6164;5026195863;5;T3238;4632977759564252
0013;4352;5048649114;3;XZ1144;4396358414813255
0013;3907;5075315176;2;XZ1122;51838126Z8817495
0013;3551;5094312005;3;XZ192;5167756654383753
0013;4845;5086284254;4;T3111;5758385614835W67
0013;5639;5049550588;4;T3121;5218406431875352
0013;5708;5086840055;6;T3127;4942288942565155
0013;8768;5095522730;3;XZ1268;5237831A62547527
0013;2892;5055648247;5;T389;595097345B368662
0013;1592;5048828498;6;T3148;46235610476624673
0013;2780;5054479768;1;XZ1127;5411519213978448
0013;1412;5019335852;3;XZ1230;4480185198451W26
0013;2464;5066693982;1;XZ186;4855526696666313
0013;6085;5098340618;6;T3238;49278423Z8784926
0013;5080;5087915171;3;XZ1163;542493318B793925
0013;8439;5064468882;3;XZ1122;459405352B779982
0013;2768;5055915911;3;XZ1135;47293910154794123
0013;4941;5083779913;3;XZ1205;4332659482156334
0013;7852;5075364312;3;XZ1136;4648129579451725
0013;6474;5012581082;4;T327;47378943335X2639
0013;8740;5025294732;1;XZ1297;5611509827456867
0013;3030;5053239567;4;T354;5418937562263313
0013;1764;5091913000;2;XZ1238;5289447612817334
0013;1028;5011865813;3;XZ1189;48044710494937578
0013;2786;5099764694;5;T3172;4166636928658877
0013;7624;5048218509;1;XZ1188;4192179243489673
0013;6475;5021400212;4;T3141;5140115532866W53
0013;2564;5018080970;4;T335;547167331B163635
0013;4904;5016014664;6;T3284;509259345B675162
0013;1066;5012697568;5;T330;593421372B283644
0013;3758;5032356340;6;T3294;54142226Z7751543
0013;3844;5070683678;5;T349;43687910167517855
0013;5214;5027055983;6;T386;50278228Z2681342
0013;2158;5086456870;4;T3117;56173021Z9377173
0013;3467;5038563593;5;T339;5129957214259848
0013;3191;5049172788;6;T3193;4856835313763W74
0013;4549;5033841974;3;XZ1181;5749491A88161831
0013;2782;5087092785;3;XZ192;44461643164X8191
0013;3831;5080516760;2;XZ180;57079928Z4353449
0013;4075;5097287296;2;XZ1241;5021345247978W56
0013;1634;5072290949;1;XZ1191;5260767769495877
0013;8437;5071267031;6;T3212;5579128867158638
0013;3210;5095354762;3;XZ1162;5563071A56769317
0013;7088;5096815941;2;XZ166;45633625Z1442699
0013;4834;5052134157;5;T3206;5677505665899W37
0013;6392;5065664468;1;XZ1117;5660277122149892
0013;2565;5037040900;6;T3193;4208708659162684
0013;2644;5048080790;2;XZ1218;5012261A56886284
0013;5035;5039745171;4;T3234;598797342B895915
0013;6290;5014320089;2;XZ1222;55258028Z6723495
0013;3835;5013139836;6;T391;4976891A46458572
0013;7474;5064598351;1;XZ1109;58478528Z5767279
0013;5077;5046725688;6;T3210;4210306865245511
0013;7729;5028652548;4;T3283;4928008712466431
0013;3908;5098648630;2;XZ118;4271408419737823
0013;3357;5012405671;3;XZ17;5859046316483681
0013;6893;5046662300;1;XZ1265;52179944247X8478
0013;5368;5099469440;3;XZ169;51667722Z8492147
0013;2418;5047059422;2;XZ1265;4662926385487624
0013;2315;5071554838;3;XZ110;5311901A18632848
0013;7503;5036670512;6;T354;5832721A89145757
0013;2946;5061127528;1;XZ160;5198309144785665
0013;3574;5030395761;4;T3208;44306110468674166
0013;1393;5030772983;1;XZ1222;4379467577958644
0013;5373;5044003167;2;XZ183;43652249979X8562
0013;4469;5051409205;3;XZ181;5651009951771894
0013;1358;5074091280;1;XZ1138;5371897496226472
0013;3709;5070060192;6;T3279;47017542473X7747
0013;5073;5071066336;6;T384;5927185328165W34
0013;3788;5017563931;3;XZ14;55575110129678959
0013;7586;5048354114;6;T3187;4762181A49212614
0013;6600;5032554016;3;XZ1278;5583635592349W39
0013;2661;5027400793;1;XZ195;5111967952826617
0013;4295;5061427599;1;XZ1103;437267316B453228
0013;4996;5061491449;4;T310;4525158582794119
0013;2114;5069160222;5;T3222;4615619757936343
0013;3712;5020323948;2;XZ121;4251021A67736552
0013;2520;5063510984;1;XZ1162;5982718123117825
0013;2869;5045878050;4;T3266;5980868848794554
0013;8755;5056970051;3;XZ1254;49012310232948632
0013;2336;5065351163;2;XZ1257;4884691A49435994
0013;3343;5089152506;4;T324;4422409333233278
0013;6214;5092095054;1;XZ1143;5832799922131785
0013;6578;5020711015;2;XZ144;4374746499636573
0013;3965;5066631578;4;T3282;43623841748X2762
0013;3338;5064612740;4;T336;4396451A51892651
0013;5059;5035053925;4;T388;4797456118884399
0013;1961;5061298640;3;XZ122;4710899267559164
0013;2187;5057459883;1;XZ1230;4953155641257W37
0013;4348;5035315997;5;T373;4294855188843W41
0013;5586;5082836827;6;T3106;4636629925586799
0013;5821;5086616577;2;XZ1260;5045149953225439
0013;2608;5052008506;3;XZ1279;564688315B619668
0013;6637;5086108352;6;T346;4154869394924463
0013;6151;5052441105;4;T3248;4896129792741698
0013;4552;5037600449;1;XZ1210;559030382B697666
0013;4662;5070572931;5;T338;4650941A53512165
0013;7763;5029367227;1;XZ1220;46459021Z9271527
0013;5670;5031540086;3;XZ191;423802363B338496
0013;6826;5024489262;5;T3103;41268210752989647
0013;3961;5013919130;5;T3114;5517569789297394
0013;4015;5039227815;6;T3208;5816479447738888
0013;2945;5041556281;5;T3228;4593359243651255
0013;3947;5098298603;6;T3244;5362296316917463
0013;7518;5024613276;6;T3167;4152655958687W18
0013;5823;5039542387;1;XZ1114;4300005218676W24
0013;1197;5034236948;4;T360;426941338B825929
0013;2017;5051281566;3;XZ174;5671355595478W29
0013;7523;5039302398;2;XZ16;5777871A52837186
0013;6916;5062205284;3;XZ1128;44349423Z8221461
0013;3881;5040147294;5;T3182;4455281A12154728
0013;2607;5035046013;4;T3163;46384710364365811
0013;2581;5050653643;1;XZ147;4286848984159615
0013;6222;5046861836;2;XZ1175;4763265388944W24
0013;2336;5093662262;2;XZ1136;4635236151917568
0013;5233;5049790980;5;T314;4170526231858537
0013;4533;5082819276;4;T3236;50302710557431518
0013;6543;5019465692;3;XZ1117;43547743839X7634
0013;7369;5025310556;3;XZ1239;5392276228574154
0013;3706;5059123811;6;T340;5426201A85475333
0013;7610;5061526003;2;XZ1245;47306048684X6398
0013;7064;5011452418;6;T3215;53922327Z7357658
0013;8398;5061416768;3;XZ1126;51082410832181338
0013;8014;5054631414;1;XZ150;54616526Z5363722
0013;4816;5073666584;1;XZ1192;5005381A36631439
0013;4303;5062433167;2;XZ1263;48756228Z6727346
0013;7494;5039045688;5;T3202;51136923Z7374621
0013;3154;5045267340;3;XZ150;5662829262729336
0013;7096;5034857361;5;T3219;5413216334392652
0013;8089;5016557284;6;T3146;4912876233591799
0013;5163;5060238107;2;XZ1150;4340628666593196
