BIN;IAI;ENTIDAD;OFICINA;PRODUCTO;CONTRATO;NOMBRE;DIRECCIÓN;Tasa;Deuda
519787;9240795982;0013;2443;50;54184196;CARLOS MOGOLLÓN MONCALEANO;Calle 83 # 52-6 Bogotá, Colombia;2,77;5826732
512019;2341304531;0013;6776;50;71157278;CAROL GOMEZ REY;Carrera 80 # 8-37 Bogotá, Colombia;2,54;1741468
524601;7843143778;0013;5068;50;31331513;CAROL GOMEZ OROZCO;Carrera 71 # 63-11 Bogotá, Colombia;2,10;4660847
549596;8575991019;0013;2049;50;66867536;CAROLINA PINZON OROZCO;Carrera 45 # 28-69 Bogotá, Colombia;2,00;9354581
574461;3721689507;0013;6913;50;53324125;CATHERINE ALFONSO MARIN;Carrera 18 # 51-61 Bogotá, Colombia;2,62;8173470
593650;4914743828;0013;7217;50;48774132;CINTHYA DUSSÁN ORTEGA;Carrera 82 # 56-24 Bogotá, Colombia;2,30;3915258
560150;9081172541;0013;4110;50;19020852;CLAUDIA TORRES JIMENEZ;Calle 104 # 3-59 Bogotá, Colombia;1,48;5729861
509759;7848283958;0013;4169;50;42049620;CRISTINA BARTHEL JIMENEZ;Carrera 49 # 89-63 Bogotá, Colombia;2,95;3660666
556862;6388844166;0013;1960;50;49636973;DANIEL DELGADO LANAO;Calle 131 # 75-11 Bogotá, Colombia;1,07;3331093
592294;6619259849;0013;6826;50;27993377;DANIEL CASTIBLANCO BARJUCH;Calle 78 # 34-5 Bogotá, Colombia;1,90;1237180
530501;4930937764;0013;1714;50;79589971;DANIELA BRAVO ROMERO;Carrera 25 # 7-45 Bogotá, Colombia;1,25;1083601
574147;8826084130;0013;1897;50;27513184;DANIELA BRAVO TARQUINO;Calle 22 # 101-66 Bogotá, Colombia;2,32;4116593
513448;9069430654;0013;7500;50;57645431;DANIELA SUARIQUE SANCHEZ;Carrera 79 # 54-6 Bogotá, Colombia;2,03;7385773
423205;3282368516;0013;3164;50;13659619;DANIELA NAVIA MONTOYA;Carrera 167 # 85-43 Bogotá, Colombia;2,25;7108314
589868;3362774815;0013;7139;50;93770055;DANIELLA MUÑOZ SANCHEZ;Carrera 73 # 94-29 Bogotá, Colombia;1,21;1093442
439707;2634532444;0013;4423;50;94126002;DENY LOPEZ GARCIA;Calle 3 # 64-50 Bogotá, Colombia;1,14;9801541
411576;5499713957;0013;4145;50;11146160;DIANA DIAZ GONZALEZ;Calle 35 # 46-16 Bogotá, Colombia;2,20;7434500
533799;7732317535;0013;5497;50;82034826;DIANA FORERO HERNÁNDEZ;Carrera 91 # 33-21 Bogotá, Colombia;1,99;5196354
571061;7183102005;0013;4188;50;48718840;DIEGO QUESADA MEJIA;Carrera 135 # 73-42 Bogotá, Colombia;1,03;8930933
596536;4040093597;0013;1259;50;25322359;ESTEWIL QUESADA PUERTO;Carrera 157 # 54-56 Bogotá, Colombia;2,48;4572532
581659;8247590576;0013;1739;50;71718652;ESTEWIL FINO VARON;Calle 98 # 38-58 Bogotá, Colombia;1,17;6270896
513888;6588026934;0013;6431;50;88371876;FABIAN HERRERA RODRÍGUEZ;Calle 1 # 8-67 Bogotá, Colombia;1,33;3671580
521621;6292370704;0013;1248;50;58579474;GABRIEL NIETO RODRÍGUEZ;Carrera 106 # 64-8 Bogotá, Colombia;2,99;3051371
568925;7763099428;0013;4014;50;42824264;GABRIEL NIETO NOVOA;Calle 97 # 99-18 Bogotá, Colombia;2,64;3098012
574355;8373411169;0013;4046;50;14914392;GABRIEL MENDOZA DEL;Carrera 165 # 23-8 Bogotá, Colombia;2,60;8916964
485626;1988514529;0013;4325;50;20585999;GLORIA CAMARGO DUEÑAS;Calle 12 # 25-61 Bogotá, Colombia;1,68;9874788
573762;9122828773;0013;3845;50;64536587;HUGO GUERRERO ZÚÑIGA;Carrera 4 # 94-18 Bogotá, Colombia;2,24;5539169
503777;4211207250;0013;2964;50;53646316;INGRID CORAL SIERRA;Calle 41 # 14-40 Bogotá, Colombia;2,21;7036137
457502;4457332681;0013;1793;50;27536096;IVÁN BARRERA SIERRA;Carrera 40 # 51-41 Bogotá, Colombia;1,72;8682569
563355;6074238026;0013;4812;50;74134952;IVONNE SÁNCHEZ GARCÍA;Carrera 11 # 75-18 Bogotá, Colombia;2,81;8462992
502043;8729635916;0013;6031;50;99990732;JENNY MONCALEANO GARCÍA;Carrera 64 # 9-28 Bogotá, Colombia;1,73;9855351
445569;5744553731;0013;2104;50;84731348;JENNY REY RUEDA;Carrera 169 # 25-53 Bogotá, Colombia;2,11;3004928
471642;3117563408;0013;7733;50;51094030;JORGE OROZCO BOLÍVAR;Carrera 104 # 17-27 Bogotá, Colombia;2,18;3554776
415068;8365725131;0013;1208;50;54683002;JORGE OROZCO HORTA;Calle 29 # 23-48 Bogotá, Colombia;1,78;5163580
434297;8194912806;0013;4508;50;99699856;JORGE MARIN BELTRÁN;Calle 19 # 92-15 Bogotá, Colombia;2,23;2960717
419340;4792373082;0013;7720;50;81062174;JOSE ORTEGA GUACAS;Carrera 85 # 99-42 Bogotá, Colombia;1,58;3609182
476908;2183772405;0013;7111;50;18016603;JUAN JIMENEZ NIETO;Calle 99 # 41-60 Bogotá, Colombia;1,55;6895749
577580;8151010917;0013;1565;50;42927844;JUAN JIMENEZ GARCÍA;Calle 36 # 37-28 Bogotá, Colombia;1,21;5793770
555888;7192049305;0013;2739;50;78575946;JUAN LANAO GARCÍA;Carrera 133 # 46-68 Bogotá, Colombia;1,38;4640662
453675;6000723487;0013;3143;50;80764271;JUAN BARJUCH PEREZ;Calle 126 # 94-53 Bogotá, Colombia;2,49;4012393
521927;2446078250;0013;1464;50;63387850;JUAN ROMERO PEREZ;Calle 35 # 3-6 Bogotá, Colombia;2,30;4424369
594034;9988651886;0013;3894;50;67782489;JUAN TARQUINO CERVANTES;Carrera 7 # 38-11 Bogotá, Colombia;2,65;6581734
455651;7951063873;0013;5131;50;19429160;JUAN SANCHEZ PILAR;Carrera 124 # 13-21 Bogotá, Colombia;2,82;4201001
441918;7699478876;0013;7443;50;21792366;JUAN MONTOYA GARZÓN;Calle 79 # 50-12 Bogotá, Colombia;2,83;7147739
472882;6973970283;0013;3906;50;91998125;JULIÁN SANCHEZ CAMACHO;Carrera 62 # 76-36 Bogotá, Colombia;2,56;8762766
532645;2368319303;0013;3546;50;96889494;JULIAN GARCIA CAMARGO;Carrera 76 # 55-27 Bogotá, Colombia;2,78;5233613
416910;1639943982;0013;4629;50;67681867;JULIANA GONZALEZ CONTRERAS;Carrera 94 # 96-64 Bogotá, Colombia;1,42;4184538
443382;5199558751;0013;1716;50;69125635;JULY HERNÁNDEZ PERDOMO;Calle 8 # 99-6 Bogotá, Colombia;1,02;8274310
419592;3432609133;0013;4963;50;92270057;KAREN MEJIA GUTIÉRREZ;Calle 122 # 25-8 Bogotá, Colombia;2,90;1172907
481319;9834886863;0013;4155;50;21558351;LAURA PUERTO BARRERO;Calle 3 # 47-7 Bogotá, Colombia;2,33;7024198
495502;5695495093;0013;5979;50;92164508;LAURA VARON CASAS;Carrera 34 # 26-10 Bogotá, Colombia;1,23;4677124
526199;1970030064;0013;6556;50;60320629;LAURA RODRÍGUEZ SAMAN;Carrera 116 # 47-12 Bogotá, Colombia;1,01;9512469
565219;1402605368;0013;1287;50;76782168;LAURA RODRÍGUEZ OVALLE;Carrera 88 # 19-52 Bogotá, Colombia;2,45;2629078
521457;7917345617;0013;1889;50;29149892;LAURA NOVOA CASTELLANOS;Carrera 48 # 24-41 Bogotá, Colombia;1,41;2996206
472110;1874562770;0013;6610;50;27676959;LAURA DEL COLMENARES;Carrera 144 # 35-61 Bogotá, Colombia;1,51;6985303
430310;1860082203;0013;7402;50;35579880;LAURA DUEÑAS ULLOA;Carrera 60 # 61-19 Bogotá, Colombia;2,88;9232329
594412;2684934745;0013;6202;50;25860157;LEONARDO ZÚÑIGA ANTIA;Calle 43 # 54-21 Bogotá, Colombia;2,99;1094782
453774;2498259337;0013;5139;50;73812921;LINA SIERRA CORREA;Carrera 164 # 84-48 Bogotá, Colombia;2,15;9680952
592502;6320740459;0013;2816;50;66090216;LISETH SIERRA GONZALEZ;Carrera 145 # 76-16 Bogotá, Colombia;2,23;4746290
504733;4371287655;0013;4972;50;73694996;LISETH GARCÍA ALVAREZ;Carrera 85 # 68-55 Bogotá, Colombia;2,03;5785599
441407;2470385531;0013;1610;50;12554070;LUISA GARCÍA ALVAREZ;Calle 17 # 53-8 Bogotá, Colombia;1,48;3894046
448603;2173324811;0013;2694;50;88431729;LUISA RUEDA ZAMBRANO;Calle 125 # 95-37 Bogotá, Colombia;2,50;1229719
568739;5002834775;0013;5235;50;28723421;MARCELA BOLÍVAR ZAMBRANO;Calle 13 # 50-62 Bogotá, Colombia;1,77;5167924
514221;6480176476;0013;7628;50;75127225;MARIA HORTA GARCÉS;Calle 90 # 89-54 Bogotá, Colombia;2,37;4607435
577348;5351911305;0013;4817;50;28357216;MARIA BELTRÁN MELGUIZO;Carrera 111 # 73-22 Bogotá, Colombia;1,20;9651440
579137;7381766774;0013;6917;50;64027316;MARÍA GUACAS GALEANO;Calle 99 # 43-22 Bogotá, Colombia;1,40;7283378
513268;5910052274;0013;6263;50;66502390;MARÍA NIETO OCHOA;Calle 14 # 14-12 Bogotá, Colombia;1,16;3425211
447726;6899387983;0013;3795;50;62014390;MARIA GARCÍA OCHOA;Calle 144 # 76-59 Bogotá, Colombia;2,63;7837090
594367;2408776554;0013;5670;50;35593541;MARIA GARCÍA CIFUENTES;Carrera 42 # 16-28 Bogotá, Colombia;1,64;3929681
565498;2286394352;0013;7026;50;63810660;MARIA PEREZ SALAZAR;Carrera 57 # 26-23 Bogotá, Colombia;1,08;8201991
414096;8096707391;0013;6012;50;42461582;MARIA PEREZ ACERO;Calle 108 # 57-63 Bogotá, Colombia;2,48;7646507
577553;1443557635;0013;7448;50;27140077;MARIA CERVANTES ACEVEDO;Carrera 35 # 77-53 Bogotá, Colombia;1,41;2040450
443891;8376319212;0013;5941;50;93924865;MARIA PILAR ALFONSO;Calle 32 # 65-47 Bogotá, Colombia;2,16;5462625
469127;4811812383;0013;2052;50;54061024;MARIANA GARZÓN ALVAREZ;Calle 1 # 20-18 Bogotá, Colombia;1,94;6032028
504059;3138192652;0013;2551;50;82482868;MARIO CAMACHO ALVAREZ;Carrera 90 # 8-60 Bogotá, Colombia;2,82;4789468
542687;8955295474;0013;5271;50;67775208;MÓNICA CAMARGO ANTIA;Carrera 22 # 74-57 Bogotá, Colombia;2,20;2641272
599553;6496412530;0013;5462;50;93914252;MÓNICA CONTRERAS ARISTIZABAL;Carrera 43 # 80-22 Bogotá, Colombia;2,00;2629899
445977;8413353926;0013;7171;50;17229589;NATALIA PERDOMO BARJUCH;Calle 97 # 29-69 Bogotá, Colombia;2,74;2016908
540666;2957210465;0013;6806;50;77776143;NATALIA GUTIÉRREZ BARRERA;Calle 88 # 81-17 Bogotá, Colombia;2,02;5523137
566474;5021208253;0013;1256;50;61107749;NATALIA BARRERO BARRERO;Calle 151 # 51-25 Bogotá, Colombia;1,97;2474499
478445;8352329433;0013;4172;50;90720387;NATALIA CASAS BARTHEL;Carrera 9 # 94-10 Bogotá, Colombia;1,73;3651447
467906;5842042263;0013;5573;50;28689151;NATALIA SAMAN BELTRÁN;Calle 16 # 83-49 Bogotá, Colombia;2,43;2445644
542599;7577532225;0013;7406;50;43347893;OLGA OVALLE BLANCO;Calle 149 # 76-66 Bogotá, Colombia;1,70;8537170
564393;1715993737;0013;4166;50;98834933;OLGA CASTELLANOS BOLÍVAR;Carrera 24 # 13-51 Bogotá, Colombia;1,13;9504974
482209;1658626194;0013;2385;50;29508197;OSCAR COLMENARES BOTERO;Carrera 36 # 27-35 Bogotá, Colombia;2,60;6338025
597113;4902971116;0013;4537;50;22689755;OSCAR ULLOA BRAVO;Carrera 76 # 74-26 Bogotá, Colombia;1,12;8509675
494650;3976935624;0013;6296;50;59839596;OSCAR ANTIA BRAVO;Carrera 13 # 32-63 Bogotá, Colombia;2,71;7155377
577949;6733805010;0013;2765;50;46357465;PABLO CORREA CAMACHO;Calle 116 # 16-59 Bogotá, Colombia;2,91;2687203
583711;2549144093;0013;4431;50;40829311;PAOLA GONZALEZ CAMARGO;Calle 134 # 28-21 Bogotá, Colombia;1,04;6717985
539252;5290198288;0013;4675;50;13268521;RAFAEL ALVAREZ CAMARGO;Calle 83 # 23-20 Bogotá, Colombia;2,35;8979064
551419;7249684321;0013;7727;50;44596112;RAFAEL ALVAREZ CASAS;Carrera 43 # 15-25 Bogotá, Colombia;2,23;7898185
519406;4882894060;0013;5838;50;80238885;RAFAEL ZAMBRANO CASTAÑO;Calle 75 # 81-59 Bogotá, Colombia;2,78;6328595
547601;5559177569;0013;6836;50;66564173;RICARDO ZAMBRANO CASTELLANOS;Calle 3 # 1-42 Bogotá, Colombia;2,63;3839486
519657;1893050388;0013;2883;50;15425458;RICARDO GARCÉS CASTIBLANCO;Carrera 71 # 62-51 Bogotá, Colombia;1,09;3741754
492164;5023461416;0013;2401;50;75130000;SANDRA MELGUIZO CERVANTES;Calle 13 # 44-45 Bogotá, Colombia;1,36;4113099
468602;8995775556;0013;1766;50;92391470;SEBASTIAN GALEANO CIFUENTES;Carrera 110 # 44-37 Bogotá, Colombia;2,63;8695315
577740;8595760523;0013;2612;50;70595471;SEBASTIÁN OCHOA COLMENARES;Calle 151 # 19-50 Bogotá, Colombia;1,51;9521930
505287;5037880249;0013;4515;50;90348562;YIRIAM OCHOA CONTRERAS;Carrera 140 # 13-39 Bogotá, Colombia;2,71;1971222
456900;8679586426;0013;4868;50;96879484;YIRIAM CIFUENTES CORAL;Calle 22 # 30-67 Bogotá, Colombia;2,87;7606608
502242;7362999053;0013;5054;50;97422168;YURANY SALAZAR CORREA;Calle 122 # 60-15 Bogotá, Colombia;2,41;9707058
478338;3865566046;0013;3543;50;59887767;YURI ACERO CORTÉS;Calle 146 # 93-11 Bogotá, Colombia;1,68;1701150
537646;8065929794;0013;4327;50;79442900;CAROLINA ACEVEDO CRUZ;Carrera 11 # 10-36 Bogotá, Colombia;1,98;5143380
477071;2543937052;0013;6052;50;39371601;MARCELA ALFONSO DEL;Calle 63 # 75-67 Bogotá, Colombia;1,49;3038984
502785;9254510377;0013;6968;50;73509057;MARCELA ALVAREZ DELGADO;Calle 165 # 19-44 Bogotá, Colombia;1,48;2545072
483650;2756569435;0013;1173;50;40421951;ABONDANO ALVAREZ DIAZ;Calle 95 # 35-39 Bogotá, Colombia;2,14;3557881
559676;4817452293;0013;4675;50;42654730;CARVAJAL ANTIA DUEÑAS;Carrera 15 # 40-54 Bogotá, Colombia;1,03;8778515
513382;3879578636;0013;6019;50;43779663;CATALINA ARISTIZABAL DUSSÁN;Carrera 12 # 35-5 Bogotá, Colombia;1,81;3750094
523752;5788913659;0013;3254;50;13047146;LILIANA BARJUCH FERNÁNDEZ;Calle 22 # 79-68 Bogotá, Colombia;2,63;1388117
596679;7953201980;0013;1858;50;34614200;FELIPE BARRERA FINO;Carrera 137 # 58-37 Bogotá, Colombia;1,69;8691039
500407;5586379723;0013;6299;50;35655807;PATRICIA BARRERO FORERO;Calle 132 # 56-20 Bogotá, Colombia;2,71;2640904
429419;1698237044;0013;5972;50;62573940;LISSETH BARTHEL GALEANO;Carrera 18 # 8-40 Bogotá, Colombia;1,49;9270839
553530;5876607490;0013;5837;50;53587986;MARIA BELTRÁN GARCÉS;Calle 112 # 43-47 Bogotá, Colombia;2,58;1751872
452944;1937505438;0013;1969;50;11684382;TATIANA BLANCO GARCIA;Calle 142 # 22-69 Bogotá, Colombia;1,01;7692179
515368;2964359916;0013;1007;50;26483029;POLANCO BOLÍVAR GARCÍA;Carrera 169 # 43-28 Bogotá, Colombia;1,97;3325596
510341;9099001391;0013;2743;50;74916621;VILLAMIZAR BOTERO GARCÍA;Calle 63 # 58-52 Bogotá, Colombia;2,36;8971768
579906;6641837486;0013;6944;50;48871669;RODRÍGUEZ BRAVO GARCÍA;Carrera 31 # 20-9 Bogotá, Colombia;2,52;8691781
431704;1840154915;0013;3146;50;33799802;ALBERTO BRAVO GARCÍA;Calle 58 # 14-52 Bogotá, Colombia;1,42;3198755
444128;6460708556;0013;3919;50;40620456;ENRIQUE CAMACHO GARZÓN;Carrera 53 # 78-29 Bogotá, Colombia;1,27;3758867
425411;8507083113;0013;7492;50;78648421;ANDRÉS CAMARGO GOMEZ;Carrera 126 # 40-10 Bogotá, Colombia;1,47;2249954
458354;6400492256;0013;5559;50;83108220;DIDIER CAMARGO GOMEZ;Carrera 30 # 52-62 Bogotá, Colombia;2,34;6496541
517796;9928652094;0013;3098;50;61995712;FELIPE CASAS GOMEZ;Carrera 151 # 1-68 Bogotá, Colombia;2,75;6480833
517289;5228309213;0013;1522;50;54166206;RUCHINA CASTAÑO GONZALEZ;Carrera 87 # 16-66 Bogotá, Colombia;1,35;2325879
431115;8735407444;0013;2809;50;39543663;RUCHINA CASTELLANOS GONZALEZ;Calle 116 # 81-62 Bogotá, Colombia;1,60;1112674
581170;1580635928;0013;3311;50;67224118;PINTOR CASTIBLANCO GUACAS;Calle 33 # 50-61 Bogotá, Colombia;2,09;3295695
489347;2265813387;0013;1268;50;91829216;OSPINA CERVANTES GUERRERO;Carrera 48 # 18-52 Bogotá, Colombia;2,21;8617892
482709;9282727201;0013;2543;50;71591855;FERNANDA CIFUENTES GUTIÉRREZ;Calle 110 # 41-28 Bogotá, Colombia;2,04;9991748
444438;6148153261;0013;7598;50;94707202;LILIANA COLMENARES HERNANDEZ;Carrera 34 # 73-54 Bogotá, Colombia;2,71;3044094
582301;3652949001;0013;4846;50;23860064;ELIZABETH CONTRERAS HERNÁNDEZ;Carrera 2 # 11-6 Bogotá, Colombia;1,41;9490411
462640;8952890113;0013;7083;50;66753815;GÓMEZ CORAL HERRERA;Carrera 22 # 23-60 Bogotá, Colombia;2,88;6661000
555562;9716803390;0013;2478;50;20297199;ANDRÉS CORREA HORTA;Calle 43 # 85-54 Bogotá, Colombia;1,83;4356130
420386;8694638429;0013;4582;50;13531188;HERNÁNDEZ CORTÉS JIMENEZ;Carrera 72 # 98-5 Bogotá, Colombia;1,90;3889311
433528;1120226256;0013;4449;50;64830623;HERNÁNDEZ CRUZ JIMENEZ;Calle 133 # 3-59 Bogotá, Colombia;1,03;4308002
594790;9449902765;0013;3856;50;17243808;GUZMÁN DEL LANAO;Carrera 142 # 64-64 Bogotá, Colombia;1,21;5172430
518256;1152047765;0013;5165;50;66144285;KATHERINNE DELGADO LOPEZ;Calle 27 # 58-70 Bogotá, Colombia;1,87;4033973
552507;1177536366;0013;3821;50;98121089;PUERTO DIAZ MAHECHA;Carrera 150 # 62-38 Bogotá, Colombia;2,33;1438728
538762;6808198615;0013;4421;50;80727255;MARCELA DUEÑAS MARIN;Calle 51 # 32-64 Bogotá, Colombia;1,57;8187436
433060;7031160673;0013;6522;50;47232869;CAROLINA DUSSÁN MEJIA;Calle 21 # 32-39 Bogotá, Colombia;1,23;8693773
511788;7616045633;0013;1035;50;54146518;CATALINA FERNÁNDEZ MELGUIZO;Carrera 58 # 93-11 Bogotá, Colombia;2,38;8457056
512184;2584017833;0013;5835;50;50017709;ALEJANDRO FINO MENDOZA;Calle 95 # 93-26 Bogotá, Colombia;2,44;5068990
507888;6285813362;0013;3351;50;49142888;CARLOS FORERO MOGOLLÓN;Carrera 32 # 62-24 Bogotá, Colombia;2,20;6317489
441962;7592765173;0013;3633;50;90778848;CARLOS GALEANO MONCALEANO;Carrera 25 # 2-14 Bogotá, Colombia;1,97;9732975
525648;2845829504;0013;1556;50;43708627;ANDRES GARCÉS MONTOYA;Carrera 155 # 79-61 Bogotá, Colombia;1,02;3641913
420351;6923768280;0013;4851;50;48152985;FELIPE GARCIA MUÑOZ;Carrera 129 # 55-29 Bogotá, Colombia;2,14;8254609
501316;6731112437;0013;3508;50;52604682;MAURICIO GARCÍA NAVIA;Carrera 87 # 79-26 Bogotá, Colombia;2,92;6738330
468732;3421065320;0013;6255;50;44789609;MAURICIO GARCÍA NIETO;Carrera 50 # 85-48 Bogotá, Colombia;1,70;9672306
476722;9867678595;0013;1570;50;25687270;PATRICIA GARCÍA NIETO;Calle 30 # 102-50 Bogotá, Colombia;2,20;2209818
428115;2051670078;0013;3366;50;86383639;ANDRÉS GARCÍA NIETO;Calle 77 # 84-15 Bogotá, Colombia;2,99;1898219
553307;4796705001;0013;2416;50;14979692;ROCIO GARZÓN NOVOA;Carrera 124 # 91-47 Bogotá, Colombia;1,29;6951868
499788;4561098304;0013;2445;50;46171992;DAVID GOMEZ OCHOA;Carrera 158 # 8-47 Bogotá, Colombia;1,46;1080745
562421;3801515104;0013;7591;50;43807403;JOULIETTE GOMEZ OCHOA;Calle 155 # 23-27 Bogotá, Colombia;2,89;3222815
418282;4738884829;0013;7074;50;68202194;FERNANDA GOMEZ OROZCO;Carrera 103 # 72-48 Bogotá, Colombia;2,29;5007362
470725;3850475326;0013;2941;50;75517177;VIVIANA GONZALEZ OROZCO;Carrera 79 # 64-41 Bogotá, Colombia;1,93;1649107
560284;3395193144;0013;7352;50;54952585;ESTEBAN GONZALEZ ORTEGA;Calle 134 # 32-56 Bogotá, Colombia;2,98;6621285
538830;2205303598;0013;7297;50;91446001;MARIO GUACAS OVALLE;Carrera 73 # 77-39 Bogotá, Colombia;2,76;2465266
539838;3763846248;0013;4991;50;55506453;MARIO GUERRERO PERDOMO;Carrera 44 # 89-21 Bogotá, Colombia;2,53;4908823
431457;3114276249;0013;4157;50;64001292;GUILLERMO GUTIÉRREZ PEREZ;Carrera 94 # 70-47 Bogotá, Colombia;1,13;8342568
416231;6206916282;0013;4648;50;63896969;CAMILO HERNANDEZ PEREZ;Carrera 117 # 38-66 Bogotá, Colombia;1,23;9913076
427863;5235566494;0013;7446;50;43849857;CAMILO HERNÁNDEZ PILAR;Calle 69 # 14-50 Bogotá, Colombia;1,18;6994678
577455;3625370795;0013;2636;50;51174409;CAMILO HERRERA PINZON;Calle 151 # 26-67 Bogotá, Colombia;1,03;8115969
583253;6905122846;0013;4397;50;26368261;ESTEBAN HORTA POLO;Carrera 10 # 97-61 Bogotá, Colombia;2,71;3668187
570046;7976142965;0013;5065;50;39851845;FERNANDO JIMENEZ PUERTO;Calle 39 # 2-34 Bogotá, Colombia;1,41;1814257
522224;1259840998;0013;6214;50;93904304;SEBASTIAN JIMENEZ QUESADA;Calle 168 # 101-66 Bogotá, Colombia;2,15;6595056
532384;7994099152;0013;3438;50;94627125;SEBASTIAN LANAO QUESADA;Calle 167 # 100-29 Bogotá, Colombia;1,23;8223944
568585;9579518332;0013;4941;50;96196378;SEBASTIAN LOPEZ REY;Carrera 105 # 76-30 Bogotá, Colombia;1,91;1052203
421894;8908466337;0013;4361;50;85057177;ROMERO MAHECHA REY;Calle 119 # 45-45 Bogotá, Colombia;1,38;7103480
412449;4996920691;0013;7407;50;97635874;LEONARDO MARIN REY;Carrera 32 # 83-7 Bogotá, Colombia;3,00;8958153
493541;8213391253;0013;4919;50;48772335;GAVIRIA MEJIA ROCHA;Carrera 138 # 92-22 Bogotá, Colombia;2,37;3612606
499443;5606713900;0013;5978;50;88341475;CATHERINE MELGUIZO RODRÍGUEZ;Carrera 65 # 21-64 Bogotá, Colombia;1,74;1964733
486818;3437614388;0013;1190;50;38301065;ELIANA MENDOZA RODRÍGUEZ;Carrera 122 # 84-28 Bogotá, Colombia;2,84;1744413
496709;2919412773;0013;5821;50;89598892;DIAZ MOGOLLÓN ROMERO;Carrera 114 # 63-18 Bogotá, Colombia;1,21;6839508
491433;2431123732;0013;6324;50;27606173;CAMILA MONCALEANO RUEDA;Carrera 82 # 56-49 Bogotá, Colombia;1,32;2102676
583987;4033416176;0013;7096;50;72465402;CATALINA MONTOYA RUIZ;Carrera 115 # 95-13 Bogotá, Colombia;2,63;6673442
420028;3282509986;0013;4602;50;50391027;FERNANDA MUÑOZ SALAZAR;Calle 75 # 30-55 Bogotá, Colombia;1,49;3932955
542658;7883194379;0013;3492;50;46585646;FERNANDA NAVIA SAMAN;Calle 142 # 69-23 Bogotá, Colombia;2,22;3816173
560956;4108491825;0013;7016;50;99661988;NATALIA NIETO SANCHEZ;Calle 37 # 72-11 Bogotá, Colombia;1,16;3467555
563426;7137559342;0013;7652;50;36657854;VIVIANA NIETO SANCHEZ;Carrera 100 # 76-57 Bogotá, Colombia;1,21;1601231
449843;5886779918;0013;4687;50;95130079;ANDRÉS NIETO SÁNCHEZ;Carrera 35 # 47-68 Bogotá, Colombia;2,70;6055856
551357;8166112982;0013;3030;50;23549652;MARÍA NOVOA SIERRA;Calle 23 # 74-20 Bogotá, Colombia;1,48;5956155
512931;8601022527;0013;5177;50;52119244;TATIANA OCHOA SIERRA;Calle 6 # 62-20 Bogotá, Colombia;2,62;6858310
425194;5673772961;0013;3757;50;75337565;TATIANA OCHOA SUARIQUE;Calle 166 # 28-50 Bogotá, Colombia;1,90;6072200
